YEAR,DANE_sede,MATEMATICAS_PUNT,x,y,students
2006,105001002119,46.38134020618551,-75.586601,6.2569165,194
2007,105001002119,44.60290178571423,-75.586601,6.2569165,224
2008,105001002119,43.91881773399017,-75.586601,6.2569165,203
2009,105001002119,43.19310734463276,-75.586601,6.2569165,177
2010,105001002119,45.16191780821919,-75.586601,6.2569165,73
2011,105001002119,46.10457516339869,-75.586601,6.2569165,153
2012,105001002119,44.13422818791946,-75.586601,6.2569165,149
2013,105001002119,43.84967320261438,-75.586601,6.2569165,153
2004,105001002135,38.62111063356753,-75.54361,6.2696452,27
2005,105001002135,43.50058864144718,-75.54361,6.2696452,34
2006,105001002135,43.44368421052631,-75.54361,6.2696452,19
2007,105001002135,45.82161290322581,-75.54361,6.2696452,31
2008,105001002135,45.35962962962963,-75.54361,6.2696452,54
2009,105001002135,42.01621621621622,-75.54361,6.2696452,37
2010,105001002135,42.73981481481483,-75.54361,6.2696452,54
2011,105001002135,41.69014084507042,-75.54361,6.2696452,71
2012,105001002135,45.52,-75.54361,6.2696452,50
2013,105001002135,41.34285714285714,-75.54361,6.2696452,35
2004,105001002461,40.58853284200033,-75.599426,6.2460065,75
2005,105001002461,44.87272728263558,-75.599426,6.2460065,77
2006,105001002461,45.16100840336133,-75.599426,6.2460065,119
2007,105001002461,45.29301724137928,-75.599426,6.2460065,116
2008,105001002461,44.80044943820224,-75.599426,6.2460065,89
2009,105001002461,44.55337662337661,-75.599426,6.2460065,77
2010,105001002461,46.58642105263158,-75.599426,6.2460065,95
2011,105001002461,50.42045454545455,-75.599426,6.2460065,88
2012,105001002461,49.79611650485437,-75.599426,6.2460065,103
2013,105001002461,50.45555555555556,-75.599426,6.2460065,90
2004,105001002470,40.46987726630234,-75.578804,6.2788649,82
2005,105001002470,43.77851883217141,-75.578804,6.2788649,135
2006,105001002470,45.98263157894738,-75.578804,6.2788649,114
2007,105001002470,44.82940740740738,-75.578804,6.2788649,135
2008,105001002470,43.07271276595748,-75.578804,6.2788649,188
2009,105001002470,44.15033333333331,-75.578804,6.2788649,150
2010,105001002470,43.08101321585905,-75.578804,6.2788649,227
2011,105001002470,45.90666666666667,-75.578804,6.2788649,225
2012,105001002470,45.04242424242424,-75.578804,6.2788649,165
2013,105001002470,44.94047619047619,-75.578804,6.2788649,168
2004,105001002488,40.74820448394514,-75.554031,6.2612147,117
2005,105001002488,43.24016158811508,-75.554031,6.2612147,124
2006,105001002488,45.51715328467152,-75.554031,6.2612147,137
2007,105001002488,44.33978723404257,-75.554031,6.2612147,94
2008,105001002488,42.02600000000002,-75.554031,6.2612147,65
2009,105001002488,43.37557692307692,-75.554031,6.2612147,52
2010,105001002488,43.4921052631579,-75.554031,6.2612147,38
2011,105001002488,45.21739130434783,-75.554031,6.2612147,46
2012,105001002488,43.46875,-75.554031,6.2612147,32
2013,105001002488,42.75,-75.554031,6.2612147,36
2004,105001002526,40.83826622009278,-75.612434,6.2546239,75
2005,105001002526,44.77778860238882,-75.612434,6.2546239,104
2006,105001002526,46.20788990825688,-75.612434,6.2546239,109
2007,105001002526,45.89103773584905,-75.612434,6.2546239,106
2008,105001002526,45.50343434343436,-75.612434,6.2546239,99
2009,105001002526,42.40253968253968,-75.612434,6.2546239,126
2010,105001002526,43.08118750000001,-75.612434,6.2546239,160
2011,105001002526,46.0754716981132,-75.612434,6.2546239,106
2012,105001002526,46.59055118110236,-75.612434,6.2546239,127
2013,105001002526,45.67058823529412,-75.612434,6.2546239,85
2004,105001002780,37.30272657221014,-75.539619,6.2385035,11
2005,105001002780,45.03380984351749,-75.539619,6.2385035,21
2006,105001002780,42.13538461538462,-75.539619,6.2385035,26
2007,105001002780,43.1725,-75.539619,6.2385035,32
2008,105001002780,43.07868421052632,-75.539619,6.2385035,38
2009,105001002780,42.71125,-75.539619,6.2385035,24
2010,105001002780,39.99523809523809,-75.539619,6.2385035,42
2011,105001002780,42.6,-75.539619,6.2385035,25
2012,105001002780,43,-75.539619,6.2385035,25
2013,105001002780,43.08571428571429,-75.539619,6.2385035,35
2004,105001002895,40.97301328998722,-75.603935,6.2437825,73
2005,105001002895,44.16672758622603,-75.603935,6.2437825,110
2006,105001002895,45.74024691358025,-75.603935,6.2437825,81
2007,105001002895,46.03496598639451,-75.603935,6.2437825,147
2008,105001002895,44.87598214285715,-75.603935,6.2437825,112
2009,105001002895,47.26891304347827,-75.603935,6.2437825,92
2010,105001002895,48.08366666666669,-75.603935,6.2437825,150
2011,105001002895,50.025,-75.603935,6.2437825,120
2012,105001002895,47.26428571428571,-75.603935,6.2437825,140
2013,105001002895,45.59154929577465,-75.603935,6.2437825,142
2004,105001002976,40.40277710667363,-75.596817,6.2693357,54
2005,105001002976,43.609559395734,-75.596817,6.2693357,68
2006,105001002976,45.67573529411766,-75.596817,6.2693357,68
2007,105001002976,45.77151515151517,-75.596817,6.2693357,66
2008,105001002976,41.92454545454547,-75.596817,6.2693357,77
2009,105001002976,42.05911392405063,-75.596817,6.2693357,79
2010,105001002976,42.69317073170733,-75.596817,6.2693357,82
2011,105001002976,46.56923076923077,-75.596817,6.2693357,65
2012,105001002976,42.36842105263158,-75.596817,6.2693357,76
2013,105001002976,44.73563218390805,-75.596817,6.2693357,87
2004,105001003131,40.59777704874674,-75.559654,6.2909527,9
2005,105001003131,39.14666695064969,-75.559654,6.2909527,18
2006,105001003131,41.45826086956522,-75.559654,6.2909527,23
2007,105001003131,44.50518518518519,-75.559654,6.2909527,27
2008,105001003131,44.96285714285714,-75.559654,6.2909527,21
2009,105001003131,42.09315789473685,-75.559654,6.2909527,19
2010,105001003131,42.89416666666667,-75.559654,6.2909527,12
2011,105001003131,48.5,-75.559654,6.2909527,18
2012,105001003131,49,-75.559654,6.2909527,10
2013,105001003131,43.11764705882353,-75.559654,6.2909527,17
2004,105001003221,37.25999962199818,-75.552429,6.2414951,22
2005,105001003221,41.56476227896554,-75.552429,6.2414951,105
2006,105001003221,43.81976744186049,-75.552429,6.2414951,86
2007,105001003221,43.73113636363639,-75.552429,6.2414951,88
2008,105001003221,42.41522388059702,-75.552429,6.2414951,67
2009,105001003221,40.28537499999997,-75.552429,6.2414951,80
2010,105001003221,42.34586206896552,-75.552429,6.2414951,58
2011,105001003221,45.5,-75.552429,6.2414951,44
2012,105001003221,43.65671641791045,-75.552429,6.2414951,67
2013,105001003221,42.03174603174603,-75.552429,6.2414951,63
2004,105001003271,41.37238036261665,-75.59581,6.2221904,63
2005,105001003271,43.81433357662625,-75.59581,6.2221904,90
2006,105001003271,44.34585858585859,-75.59581,6.2221904,99
2007,105001003271,41.42621212121212,-75.59581,6.2221904,66
2008,105001003271,42.98307692307694,-75.59581,6.2221904,52
